ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2024-04-18,7980,13099,17699,2639,229,459,53,3789,2904,4781,1465,31,22,394,1583,1771,2895,361,12,26,60,2111,9474,10318,506,425,92,244,375,209,399,124,49,6,6
2024-04-19,8792,11851,15483,2610,355,1549,646,3880,2634,4676,1063,165,33,577,1998,1523,2956,522,20,14,9,2798,10481,11983,878,122,36,260,391,239,449,62,59,2,58
2024-04-20,9072,9032,14211,2281,364,1138,110,3982,1700,4404,877,74,26,301,1859,1088,2612,327,5,0,3,2265,6242,7441,733,127,32,174,842,388,905,225,79,1,20
2024-04-21,11885,13868,21327,2850,410,654,512,5282,2763,5770,1841,113,75,246,2732,1725,3790,481,22,31,133,3116,7062,8587,1071,125,48,347,1459,691,1677,238,76,20,139
2024-04-22,7909,14362,17824,3198,287,532,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,166,389,165,45,11,1
2024-04-23,0,0,0,0,0,0,0,5191,3717,5800,2147,137,127,697,1965,1715,2895,691,4,0,90,3137,12140,13164,1263,108,380,362,0,0,0,0,0,0,0
2024-04-24,0,39502,17230,4005,1698,11616,4953,1136,6305,5237,1395,369,288,152,0,5468,4768,0,0,0,700,0,15574,13859,1010,216,95,394,0,3378,3378,0,0,0,0
2024-04-25,8224,13897,17744,2871,383,751,372,3954,2444,4362,1526,213,70,227,1612,1500,2629,453,6,17,7,2410,10940,11895,1006,158,69,222,711,479,803,320,40,8,19
2024-04-26,7830,11036,15302,2320,473,572,199,3758,2348,4447,1207,108,25,319,1837,2006,3286,481,8,28,40,2979,11468,12977,999,132,102,237,748,450,873,268,29,13,15
2024-04-27,13222,13989,18723,4742,1572,1874,300,5970,3107,6961,1664,90,49,313,3713,2719,5900,453,9,36,34,5010,11938,15215,1178,146,148,261,2268,1400,3192,299,33,14,130
2024-04-28,11185,12196,14395,2830,2057,1463,2636,5175,2901,5590,1805,170,34,477,2578,2025,3973,473,53,15,89,3500,6757,8575,1123,169,225,165,1854,1006,2289,433,104,11,23
2024-04-29,9379,10592,10833,4419,1594,1872,1253,1641,790,1386,822,70,7,146,521,473,788,175,8,8,15,1094,3583,4188,357,60,45,27,1082,481,1019,248,110,77,109
2024-04-30,3671,2843,4471,954,323,571,195,4845,2973,4797,2318,134,125,444,2048,1907,3145,681,33,33,63,2686,11244,11967,1189,269,114,391,837,528,1052,254,43,8,8
