ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2025-03-13,5125,7680,5456,3313,1473,1365,1198,1915,1319,1894,1085,111,28,116,1103,1145,1912,227,30,7,72,1032,8278,8631,445,122,38,74,312,154,313,98,41,8,6
2025-03-14,6594,7870,7184,3507,1650,864,1259,2509,3181,4283,1106,133,33,135,1758,2170,3492,366,40,5,25,1985,10887,11468,807,204,116,277,315,185,334,99,61,4,2
2025-03-15,9811,11508,13430,3344,1826,1680,1039,4073,3272,5727,1321,125,64,108,4093,4494,8122,370,46,9,40,1390,4612,5457,340,107,25,73,2231,1406,3132,369,112,5,19
2025-03-16,5280,5655,5858,2742,604,1557,174,2438,1496,2495,1200,107,28,104,1027,2149,2847,268,46,0,15,1105,3351,3467,594,151,55,189,750,462,881,263,59,2,7
2025-03-17,6998,8327,6777,4934,797,1625,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,117,162,198,75,16,7
2025-03-18,0,0,0,0,0,0,0,3282,1871,2531,1759,210,121,532,976,1509,2004,382,58,15,26,1536,4700,4848,675,119,170,424,0,0,0,0,0,0,0
2025-03-19,6643,8012,7567,4783,766,400,1139,2393,2247,2809,1348,157,15,311,921,1641,2129,343,44,6,40,1069,7276,7431,603,79,58,174,315,111,204,137,71,7,7
2025-03-20,7412,10868,9476,5318,824,1474,1188,3010,2149,3095,1488,188,31,357,1243,1404,2198,298,69,21,61,1500,9138,9237,850,194,157,200,358,271,380,122,120,5,2
2025-03-21,7460,10155,13497,2199,1052,599,268,3467,3268,4703,1366,275,34,357,1660,2056,3199,420,83,12,2,1906,11485,12283,634,248,65,161,427,264,537,56,94,2,2
2025-03-22,9881,11355,16347,2678,1061,584,566,5024,4956,8075,1205,240,65,395,4225,4131,7807,439,89,6,15,2638,12577,13927,783,204,57,244,2305,1548,3245,366,226,4,12
2025-03-23,8838,10326,14389,2648,674,1115,338,4520,3935,6531,1296,154,17,457,3020,3503,5960,492,56,11,4,2531,7295,8567,816,203,79,161,1716,1154,2352,360,127,3,28
2025-03-24,8059,12728,10604,5411,1589,1648,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,249,421,222,25,5,1
2025-03-25,0,0,0,0,0,0,0,4324,4426,5682,2042,237,83,706,1369,1812,2501,509,55,58,58,1853,8243,8465,812,114,431,274,0,0,0,0,0,0,0
2025-03-26,0,36165,17387,4835,2488,6118,5337,1167,12541,8743,2873,1228,675,189,0,16227,11808,4419,0,0,0,0,17636,15840,1123,211,127,335,0,3904,3108,0,0,0,796
2025-03-27,6466,8214,7211,3533,875,1508,1553,2963,2529,3616,1332,179,55,310,1026,1381,1986,284,56,18,63,1248,8959,9158,580,239,81,149,365,224,335,143,97,10,4
2025-03-28,8116,10637,9538,4129,1967,1697,1422,3721,2873,4515,1236,230,40,573,1570,2570,3611,430,44,28,27,1719,10313,10743,844,149,105,191,422,224,418,126,84,11,7
2025-03-29,8103,9346,9446,3561,868,1911,1663,4491,3161,5549,1364,228,65,446,2256,2581,4262,487,42,24,22,1687,8159,8568,787,200,87,204,1309,740,1527,317,155,1,49
